Austria,,2.2,2.4,2.4,2.2,1.9,
Belgium,,3.6,3.5,3,,,
Chile,,6.2,6.2,5.3,5.3,5.2,
Colombia,,10.7,10.7,,,,
Czechia,,2.4,2.5,2.2,2.2,2.2,
Denmark,,2.5,1.9,1.9,1.9,,
Estonia,,1.7,1.5,1.5,2.2,2.3,
Finland,,2.2,2,2,1.6,2,
France,,3.8,3.8,3.6,3.7,3.9,
Hungary,,3.3,3.7,3.4,3.3,3.6,
Iceland,,1.7,1.1,3.1,,,
Israel,,2.4,2.4,2,2.4,2.4,
Japan,,1.8,1.8,1.7,1.6,1.6,
Korea,,2.8,2.6,2.4,2.4,,
Latvia,,3,3.2,3.4,2.7,2.2,
New Zealand,,3.3,,,,,
Norway,,2.3,1.9,1.6,1.9,1.9,
Poland,,3.8,3.8,3.5,3.9,3.8,
Slovak Republic,,5,5.1,5.1,4.9,5.4,
Slovenia,,1.7,2.1,2.2,1.9,2.5,
Spain,,2.7,2.6,2.6,2.5,2.6,
Sweden,,1.8,1.7,2.1,1.6,1.7,
Switzerland,,2.7,2.8,2.7,2.3,2.9,2.6
United States,,4.7,4.7,4.5,,,
Romania,,5.8,5.5,5.3,5.2,5.7,
